price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,age_of_house,yr_renovated_filled,has_been_renovated
376000.0,3.0,2.0,1340,1384,3.0,0,0,3,1340,0,2008-01-01,,9245-9249 Fremont Ave N,Seattle,WA 98103,17,0,0
800000.0,4.0,3.25,3540,159430,2.0,0,0,3,3540,0,2007-01-01,,33001 NE 24th St,Carnation,WA 98014,18,0,0
324000.0,3.0,2.25,998,904,2.0,0,0,3,798,200,2007-01-01,,820 NW 95th St,Seattle,WA 98117,18,0,0
549900.0,5.0,2.75,3060,7015,1.0,0,0,5,1600,1460,1979-01-01,,10834 31st Ave SW,Seattle,WA 98146,46,0,0
320000.0,3.0,2.5,2130,6969,2.0,0,0,3,2130,0,2003-01-01,,Cedar to Green River Trail,Maple Valley,WA 98038,22,0,0
875000.0,4.0,2.0,2520,6000,1.0,0,0,3,1400,1120,1921-01-01,2007-01-01,6521 Fremont Ave N,Seattle,WA 98103,104,2007-01-01 00:00:00,1
265000.0,4.0,1.0,1940,9533,1.0,0,0,3,1080,860,1962-01-01,2003-01-01,9908 S 210th Pl,Kent,WA 98031,63,2003-01-01 00:00:00,1
394950.0,3.0,2.5,1350,1250,3.0,0,0,3,1270,80,2006-01-01,,5940 California Ave SW,Seattle,WA 98136,19,0,0
842500.0,4.0,2.5,2160,5298,2.5,0,0,4,2160,0,1902-01-01,,906 17th Ave,Seattle,WA 98122,123,0,0
368000.0,3.0,2.5,1370,1350,2.0,0,0,3,1010,360,2007-01-01,,5411 Fauntleroy Way SW,Seattle,WA 98136,18,0,0
885000.0,4.0,2.5,2830,5000,2.0,0,0,3,2830,0,1995-01-01,,3503 NE 43rd St,Seattle,WA 98105,30,0,0
453246.0,3.0,2.5,2010,2287,2.0,0,0,3,1390,620,2014-01-01,,2500 Mulberry Walk NE,Issaquah,WA 98029,11,0,0
927000.0,4.0,2.75,3300,12090,2.0,0,0,3,3300,0,1953-01-01,,9155 NE 21st Pl,Clyde Hill,WA 98004,72,0,0
490000.0,2.0,2.5,1230,1391,2.0,0,0,3,870,360,2004-01-01,2003-01-01,106 24th Ave E,Seattle,WA 98112,21,2003-01-01 00:00:00,1
341000.0,3.0,1.5,1720,7119,1.5,0,0,4,1720,0,1952-01-01,,17050 14th Avenue Northeast,Shoreline,WA 98155,73,0,0
