price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,street,age_of_house,has_been_renovated,city_encoded,statezip_encoded
376000.0,3.0,2.0,1340,1384,3.0,0,0,3,1340,0,9245-9249 Fremont Ave N,17,0,34,563707.9901198571
800000.0,4.0,3.25,3540,159430,2.0,0,0,3,3540,0,33001 NE 24th St,18,0,7,522958.45454545453
324000.0,3.0,2.25,998,904,2.0,0,0,3,798,200,820 NW 95th St,18,0,34,552826.3942617391
549900.0,5.0,2.75,3060,7015,1.0,0,0,5,1600,1460,10834 31st Ave SW,46,0,34,354740.91228071053
320000.0,3.0,2.5,2130,6969,2.0,0,0,3,2130,0,Cedar to Green River Trail,22,0,20,343983.18489582813
875000.0,4.0,2.0,2520,6000,1.0,0,0,3,1400,1120,6521 Fremont Ave N,104,1,34,564242.7747917623
265000.0,4.0,1.0,1940,9533,1.0,0,0,3,1080,860,9908 S 210th Pl,63,1,17,291447.24524852633
394950.0,3.0,2.5,1350,1250,3.0,0,0,3,1270,80,5940 California Ave SW,19,0,34,476948.25
842500.0,4.0,2.5,2160,5298,2.5,0,0,4,2160,0,906 17th Ave,123,0,34,537582.6099290851
368000.0,3.0,2.5,1370,1350,2.0,0,0,3,1010,360,5411 Fauntleroy Way SW,18,0,34,467855.29054054053
885000.0,4.0,2.5,2830,5000,2.0,0,0,3,2830,0,3503 NE 43rd St,30,0,34,601413.5396825238
453246.0,3.0,2.5,2010,2287,2.0,0,0,3,1390,620,2500 Mulberry Walk NE,11,0,15,595362.919658123
927000.0,4.0,2.75,3300,12090,2.0,0,0,3,3300,0,9155 NE 21st Pl,72,0,8,703944.0
490000.0,2.0,2.5,1230,1391,2.0,0,0,3,870,360,106 24th Ave E,21,1,34,725709.6153846154
341000.0,3.0,1.5,1720,7119,1.5,0,0,4,1720,0,17050 14th Avenue Northeast,73,0,35,369062.37934028124
235000.0,1.0,1.0,810,2451,1.0,0,0,5,810,0,9413 34th Ave SW,84,0,34,434764.24948243104
560000.0,3.0,2.0,2560,216777,1.0,0,0,3,2560,0,19211 SE 342nd St,39,0,1,354025.0730117288
900000.0,4.0,3.25,4700,38412,2.0,0,0,3,3420,1280,3709 131st Ave NE,47,0,3,674978.7543859474
255000.0,2.0,1.0,1220,2500,1.0,0,0,3,770,450,3017 SW Hinds St,115,1,34,424385.3555306885
876650.0,3.0,3.25,2170,12508,1.5,0,0,5,1650,520,4436-4446 W Mercer Way,97,1,22,738167.658914721
540000.0,4.0,2.25,2540,228254,1.0,0,0,3,1450,1090,31907 NE 139th St,35,1,11,404259.69696969696
350000.0,2.0,1.0,910,4500,1.5,0,0,4,910,0,4430 Letitia Ave S,119,1,34,420077.4821669649
750000.0,4.0,2.5,2980,4930,2.0,0,0,3,2890,90,16512 SE 64th Pl,25,0,3,645655.12109375
582000.0,4.0,1.75,2120,4650,1.0,0,1,3,1190,930,9214 Cyrus Ave NW,74,1,34,552826.3942617391
372500.0,5.0,3.0,2480,10090,1.0,0,0,3,1300,1180,5537 S 119th St,21,1,34,269461.2630208125
410000.0,3.0,2.25,2200,16921,2.0,0,0,3,2200,0,21709 SE 255th Pl,38,1,20,341808.2189189189
360000.0,4.0,2.0,1730,5500,1.0,0,0,5,1010,720,7953 14th Ave SW,82,0,34,295356.0606060682
1015000.0,3.0,2.5,2920,34527,1.0,0,4,4,1800,1120,5220 SW Pritchard St,71,1,34,563028.5277777857
225000.0,3.0,1.0,990,8012,1.0,0,0,4,990,0,16411 120th Ave SE,59,0,31,348981.0381426269
647000.0,4.0,2.5,3040,6887,2.0,0,0,3,3040,0,215 243rd Ave SE,26,0,32,594017.1189507847
950000.0,5.0,3.0,4530,258746,1.5,0,0,4,3200,1330,20325 NE 198th St,22,0,41,572636.3970588235
185000.0,3.0,1.5,1370,8470,1.0,0,0,4,1370,0,2420 Dogwood St SE,64,1,1,376849.4788926885
335000.0,3.0,2.5,1940,4927,2.0,0,0,3,1940,0,17217 Woodside Dr SE,21,1,31,343346.2716967027
210000.0,3.0,2.5,1040,2643,2.0,0,0,3,720,320,5145 S Roxbury St,21,1,34,417964.82479784905
522000.0,4.0,2.25,1800,8623,1.0,0,0,4,1360,440,11725 NE 102nd Pl,45,0,18,683628.0585106383
770000.0,3.0,1.75,1720,5000,1.0,0,0,3,1720,0,1614 33rd Ave,71,1,34,547383.3191489362
499950.0,3.0,1.0,980,6380,1.0,0,0,3,760,220,1733 NE 88th St,84,1,34,571454.7167487701
751000.0,4.0,2.5,3110,6142,2.0,0,0,3,3110,0,11461-11577 172nd Ave NE,21,1,30,619039.4253998282
330000.0,5.0,3.0,2100,7715,1.0,0,0,3,1250,850,1047-1099 S 130th St,12,1,6,227019.38095238002
465000.0,3.0,1.5,2020,11358,1.0,0,0,4,1190,830,11618 NE 65th St,69,0,18,698902.5462962963
850000.0,4.0,1.75,2350,11914,1.0,0,0,4,2350,0,8223 SE 71st St,64,1,22,727724.5982905898
947500.0,4.0,2.25,3290,12329,1.5,0,0,4,3290,0,9202 SE 46th St,57,0,22,730135.7719298158
302000.0,5.0,2.25,2180,7813,2.0,0,0,3,2180,0,26405 218th Ave SE,39,0,20,330745.7583333281
500000.0,2.0,2.25,1290,1334,3.0,0,0,3,1290,0,5900 20th Ave NW,18,0,34,537163.8636363636
